Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45523,7.45712,7.45523,7.45565,7.45694,7.45565,0.00042,0.00563363,-0.00028,-0.0037554,-0.01421538,-0.01153355,-0.01046077,-0.02748837,0.05112831,0.07919729,0.23392599,0.26519884,0.02535133,0.03656592,0.05181187,Europe,Exotic,7.4557425,7.4541046,7.4515694,7.44844864,50.80686903,0.00371759,7.45308422,7.45840078,"Long Upper Shadow, Shooting Star"
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7486,3.7489,3.7486,3.7487,3.7494,3.7489,0.0001,0.00266766,-0.002,-0.05332338,0.00533547,0.0106715,0.00533547,-0.05065856,0.03789415,-0.00266752,-0.24747206,-0.1943557,0.05602091,0.02614294,0.06632209,Middle East,Exotic,3.7493885,3.748774,3.7485824,3.7498282,48.35320676,0.00256714,3.74740264,3.75137436,Inverted Hammer
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8188,7.8218,7.816,7.81914,7.8198,7.81877,0.00034,0.00434849,0.00044,0.00562753,-0.15527435,-0.14762409,-0.15501936,-0.2609827,-0.07884672,-0.38055755,-0.3833497,0.1234394,0.07420676,0.07238958,0.07553138,Asia,Exotic,7.8243905,7.8284362,7.8260607,7.83345295,41.08594883,0.00601066,7.81368621,7.83509479,Spinning Top White
EURRON,EURO / ROMANIAN LEU,4.9642,4.9715,4.9642,4.966,4.968,4.966,0.0018,0.03625962,0.0016,0.03222947,0.01409784,-0.12670193,-0.16284353,0.06649606,0.39421813,0.71980383,0.59147626,0.41654871,0.1470529,0.26396627,0.19826659,Europe,Exotic,4.969585,4.955966,4.9522161,4.93801385,51.61206325,0.00993207,4.96200443,4.97716557,"Long Upper Shadow, Shooting Star"
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.142,83.245,83.11,83.11,83.16,83.11,-0.032,-0.03848837,-0.032,-0.03848837,0.01444078,0.06501637,-0.12257847,0.1518365,1.41302226,1.81305892,0.86532277,0.49941352,0.16243533,0.16987763,0.22919637,Asia,Exotic,83.1291,82.96708,82.58388,82.35179,51.94409235,0.1824277,82.92664813,83.33155187,"Long Upper Shadow, Shooting Star"
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0034,1.0034,1.0019,1.0019,1.0027,1.0019,-0.0015,-0.14949173,-0.0017,-0.1693902,0.31037245,-0.37784628,0.01996606,0.10991207,-0.65443728,1.11010193,-3.88526477,1.35558928,0.16967761,0.3345548,0.4064896,,Exotic,1.00757,1.003536,1.006316,0.996356,45.77026318,0.00389221,0.99551727,1.01962273,
SGDHKD,SINGAPORE DOLLAR / HONG KONG DOLLAR,5.7334,5.7425,5.7325,5.7392,5.7405,5.7392,0.0058,0.10116161,0.0073,0.12735742,0.06625519,0.14482891,0.72836408,-0.05572583,-2.40783567,-3.26321467,5.16363103,-1.50170766,0.1849106,0.40535952,0.38077276,Asia,Exotic,5.724005,5.7573,5.793952,5.837472,51.13023985,0.02248165,5.69825354,5.74975646,
CADEUR,CANADIAN DOLLAR / EURO,0.694,0.6941,0.6928,0.693,0.6934,0.693,-0.001,-0.14409222,-0.001,-0.14409222,0.26041667,-0.47393365,-0.54535017,1.16788321,1.76211454,2.15212264,-7.31576836,0.56595559,0.18764434,0.47713611,0.58257329,Americas,Minor,0.696165,0.68698,0.687766,0.6861535,50.52676196,0.00382394,0.68917407,0.70315593,
USDSGD,U.S. DOLLAR / SINGAPORE DOLLAR,1.3638,1.3641,1.36153,1.36231,1.36246,1.36216,-0.00149,-0.10925356,-0.00148,-0.10852111,-0.18975749,-0.21169059,-0.78725821,-0.17513007,2.39083051,3.05540426,-5.1784981,1.65354624,0.18875824,0.39924568,0.39033136,Asia,Exotic,1.366171,1.3589314,1.3499415,1.3412311,47.55263613,0.00547886,1.35956759,1.37277441,
EURSGD,EURO / SINGAPORE DOLLAR,1.44598,1.4471,1.44391,1.4462,1.44634,1.44591,0.00022,0.01521459,0.00155,0.10729242,0.08997162,0.14541929,0.61781649,-0.99945235,-2.30490705,-0.94520548,3.79078213,0.87186999,0.2209279,0.33543374,0.42128287,,Exotic,1.4470005,1.4604168,1.4627999,1.4518076,44.4395546,0.00591078,1.43455565,1.45944535,
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.9394,0.93988,0.93775,0.9382,0.939,0.9382,-0.0012,-0.12774111,-0.00106,-0.1128548,0.03198635,0.68684267,0.11524671,1.72395099,1.28796139,1.16236441,6.20811447,0.73332832,0.22713943,0.34550818,0.4066593,Pacific,Minor,0.929115,0.9250476,0.9223875,0.92358735,65.85341572,0.00374088,0.91387747,0.94435253,
EURCZK,EURO / CZECH KORUNA,24.536,24.5797,24.5221,24.5498,24.5555,24.5498,0.0138,0.05624389,-0.0002,-0.00081466,0.40407345,0.56035719,0.24827474,0.66344104,3.26322874,5.65188389,0.19099702,1.79289642,0.23489016,0.5129083,0.55891073,Europe,Exotic,24.42146,24.265882,24.015301,23.8288255,62.20874511,0.13482209,24.27522077,24.56769923,
CADGBP,CANADIAN DOLLAR / BRITISH POUND,0.5989,0.5989,0.5973,0.5973,0.5981,0.5973,-0.0016,-0.26715645,-0.0016,-0.26715645,-0.0502008,-0.99453008,-1.04373757,1.63348647,2.38258485,-0.1337569,-8.92040256,-2.00164069,0.26787209,0.49521663,0.5109344,Americas,Minor,0.601875,0.59117,0.59123,0.5968785,48.90788379,0.00300014,0.59344817,0.61030183,
JPYAUD,JAPANESE YEN / AUSTRALIAN DOLLAR,0.010457,0.010479,0.010451,0.010456,0.010464,0.010456,-0.000001,-0.00956297,0.000001,0.0095648,-0.31461531,0.49980777,-1.68312177,-1.40499764,-1.69236555,-5.90352772,-3.99412359,-6.54272435,0.26791695,0.60477448,0.74692531,Asia,Minor,0.01050055,0.0105798,0.01057599,0.01081892,43.99365522,0.00007896,0.01038412,0.01061698,Long Upper Shadow
CADHKD,CANADIAN DOLLAR / HONG KONG DOLLAR,5.75388,5.76045,5.74439,5.75403,5.7548,5.75401,0.00015,0.00260694,-0.00107,-0.01859221,0.40360153,-0.20759625,0.73740658,0.11187278,-3.03825369,-2.20338666,1.01364221,-0.13832003,0.27957712,0.53952807,0.61454558,,Exotic,5.76967,5.78027,5.833647,5.81891555,46.87712317,0.03511655,5.69744706,5.84189294,Doji
EURCAD,EURO / CANADIAN DOLLAR,1.43984,1.44389,1.43984,1.44224,1.44272,1.4424,0.0024,0.16668519,0.00219,0.15207805,-0.26002766,0.48352261,0.55848783,-1.15686167,-1.69583947,-2.06099457,7.91251712,-0.52145123,0.28128125,0.57371066,0.6662355,Europe,Minor,1.4356915,1.4550356,1.4533076,1.4567522,49.4097665,0.00902046,1.4213516,1.4500314,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.751,5.763,5.7468,5.76,5.762,5.76,0.009,0.15649452,0.0095,0.16520303,0.3309528,0.36591741,0.35367702,-0.38221407,-0.20444229,2.92514697,2.38543852,2.9950827,0.28189601,0.37430759,0.43244756,Europe,Exotic,5.74642,5.757704,5.759607,5.6771485,53.41679527,0.02400997,5.70876687,5.78407313,
GBPDKK,BRITISH POUND / DANISH KRONE,8.6314,8.653,8.6284,8.6459,8.6494,8.6469,0.0145,0.16799129,0.014,0.16218909,0.60028088,0.64349255,0.5407354,-0.50518999,-0.54181525,2.38207452,2.05710117,3.02181762,0.285105,0.35884787,0.42936344,Europe,Exotic,8.615649,8.6560188,8.6622353,8.55658705,53.53386062,0.03558478,8.55616213,8.67513587,
GBPEUR,BRITISH POUND / EURO,1.15809,1.16055,1.15722,1.15967,1.1603,1.1595,0.00158,0.13643154,0.00165,0.14248459,0.33483302,0.5436102,0.51223825,-0.43187087,-0.58806889,2.31148597,1.76025131,2.6529167,0.28775859,0.27010716,0.39939481,Europe,Minor,1.155875,1.1613188,1.1624794,1.14895205,53.61178578,0.00433979,1.14817149,1.16357851,
CADAUD,CANADIAN DOLLAR / AUSTRALIAN DOLLAR,1.1444,1.1468,1.1435,1.1464,1.1472,1.1464,0.002,0.17476407,0.0019,0.16601136,0.02617573,0.17476407,-0.89903181,-0.2523275,2.68720889,3.80296994,-0.46883139,5.89322003,0.28858767,0.54349094,0.6130017,Americas,Minor,1.151095,1.147224,1.135113,1.1135135,47.94687362,0.00725676,1.14075121,1.16143879,
EURGBP,EURO / BRITISH POUND,0.86277,0.86427,0.86164,0.86221,0.86227,0.86205,-0.00056,-0.06490722,-0.00095,-0.11006071,-0.31101861,-0.51690916,-0.48131305,0.45789253,0.65021479,-2.22491864,-1.72005015,-2.55752452,0.30523188,0.30816733,0.42483638,Europe,Minor,0.8646685,0.8606146,0.8597656,0.87002355,47.30216722,0.00345653,0.85897893,0.87035807,
