Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7483,3.7483,3.7483,3.7483,3.7488,3.7483,0,0,0,0,-0.0133376,-0.00800299,-0.01600469,-0.04426714,0.0258851,-0.08796247,-0.4435591,-0.20500532,0,0.07600638,0.08420776,Middle East,Exotic,3.748974,3.74865,3.7484664,3.7501587,46.9361959,0.00316535,3.74677785,3.75117015,
EURDKK,EURO / DANISH KRONE,7.45575,7.4584,7.45575,7.4579,7.45915,7.45775,0.00215,0.0288368,0.00091,0.01220332,0.03353274,0.07715894,0.05634785,0.08118789,0.15954832,0.1399131,0.28992757,0.29545733,0.03554304,0.04300777,0.0609971,Europe,Exotic,7.4561935,7.45331,7.4508798,7.44766579,59.2383123,0.00395587,7.45206469,7.46032231,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8288,7.8325,7.8262,7.83141,7.8321,7.8319,0.00261,0.03333844,0.00231,0.02950531,0.14974999,-0.12867436,0.14078564,-0.19282384,-0.08395009,-0.22753708,-0.22054552,0.28055573,0.08049884,0.08691639,0.08502345,Asia,Exotic,7.827478,7.8243762,7.8263124,7.8325503,55.05088895,0.00647652,7.81136994,7.84358606,
EURRON,EURO / ROMANIAN LEU,4.9738,4.9816,4.9715,4.973,4.975,4.973,-0.0008,-0.01608428,-0.0001,-0.00201082,0.12079726,0.66190312,0.07042962,0.66190312,0.34889047,0.6372546,0.55199466,0.55809439,0.203158,0.20247873,0.18268878,Europe,Exotic,4.966715,4.949574,4.9514959,4.93652685,60.94445001,0.00900116,4.95229095,4.98113905,Long Upper Shadow
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.166,83.21,83.025,83.056,83.106,83.056,-0.11,-0.13226559,-0.052,-0.06256919,0.12778782,0.45233545,-0.04091948,0.60808683,1.22608166,1.21374604,2.02061147,0.4341149,0.22282445,0.20664688,0.26181988,Asia,Exotic,83.03685,82.80118,82.53661,82.33544,52.75916819,0.21586211,82.73887264,83.33482736,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.29225,7.2986,7.2812,7.29632,7.29801,7.29633,0.00407,0.05581268,0.00504,0.06912367,-0.02151307,0.30174434,-0.23013339,0.20655709,0.41963547,6.16597018,1.95104161,5.62788361,0.2389716,0.3102427,0.407981,Asia,Exotic,7.303094,7.2654588,7.2074087,7.038285,50.9676809,0.02892432,7.26077403,7.34541397,
EURSGD,EURO / SINGAPORE DOLLAR,1.44282,1.446,1.44093,1.44496,1.4465,1.4453,0.00214,0.14832065,0.00215,0.14901477,-0.60806163,-1.24185821,-0.79639699,-1.56210615,-1.9035981,-0.18788683,3.52125289,0.78538048,0.35185609,0.43693957,0.43353605,,Exotic,1.454738,1.4643488,1.4636571,1.45129645,36.4948489,0.00626568,1.44089727,1.46857873,
SGDJPY,SINGAPORE DOLLAR / JAPANESE YEN,109.218,109.532,109.122,109.275,109.321,109.292,0.057,0.0521892,0.056,0.05127313,0.55117965,1.54536669,1.33067507,1.19554749,2.45555806,9.49947392,8.92643541,11.89215757,0.37572625,0.37282761,0.52146673,,Exotic,108.36945,107.50322,106.04841,102.85033,63.54300778,0.5569895,107.47582156,109.26307844,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7458,5.7537,5.7307,5.7399,5.7419,5.7399,-0.0059,-0.1026837,-0.0057,-0.09920635,0.52188228,-0.60090742,0.16403455,-0.03831351,-0.35933757,2.01364945,3.77877018,2.63567278,0.40134713,0.44590284,0.46353822,Europe,Exotic,5.76216,5.756714,5.757094,5.6707125,46.07820805,0.02661792,5.70859137,5.81572863,Spinning Top Black
GBPDKK,BRITISH POUND / DANISH KRONE,8.6074,8.6283,8.5923,8.607,8.61,8.6072,-0.0004,-0.00464716,-0.0017,-0.01974746,0.42236431,-1.13941789,0.18390912,-0.58560588,-0.38309742,1.76104421,3.59457654,2.55829749,0.41897978,0.43379985,0.44605021,Europe,Exotic,8.6465375,8.6657424,8.6587712,8.5485744,42.7508992,0.03891196,8.55317126,8.73990374,Doji
GBPEUR,BRITISH POUND / EURO,1.1547,1.157,1.15213,1.15417,1.15436,1.15421,-0.00053,-0.04589937,-0.00048,-0.04157104,0.43247477,-1.20691279,0.10668378,-0.67383821,-0.52916893,1.64062913,3.2463234,2.16606179,0.42269536,0.4229285,0.43333175,Europe,Minor,1.1597125,1.1626172,1.1620728,1.1479965,42.44815354,0.00507498,1.14709428,1.17233072,Spinning Top Black
CHFEUR,SWISS FRANC / EURO,1.034,1.0364,1.032,1.0329,1.0337,1.0329,-0.0011,-0.10638298,-0.0011,-0.10638298,-0.24145258,-1.04426135,-0.3665477,-1.24294866,0.97761267,2.92974589,-1.88087774,2.27745321,0.42635659,0.27896469,0.33738263,Europe,Minor,1.041215,1.042654,1.034956,1.0225935,35.08137394,0.00363126,1.03028609,1.05214391,
SGDHKD,SINGAPORE DOLLAR / HONG KONG DOLLAR,5.7298,5.7526,5.728,5.7281,5.7295,5.7282,-0.0017,-0.02966945,0.0006,0.01047577,0.02619355,-1.29581445,0.17488327,-1.42660472,-0.8464601,-3.01054877,4.7203788,-1.69221,0.43819832,0.40134675,0.36479562,Asia,Exotic,5.73571,5.779136,5.802068,5.8407465,42.36927456,0.02169095,5.70149808,5.76992192,Long Upper Shadow
EURGBP,EURO / BRITISH POUND,0.86538,0.86801,0.86422,0.86632,0.86639,0.86635,0.00094,0.1086228,0.00073,0.08433554,-0.40810696,1.27541179,-0.05306998,0.7243428,0.58517555,-1.58809497,-3.11353673,-2.09303377,0.43854574,0.437999,0.45387583,Europe,Minor,0.8618075,0.8596374,0.8600674,0.8707545,57.9698605,0.00395066,0.85237769,0.87123731,
EURCZK,EURO / CZECH KORUNA,24.2925,24.4005,24.2925,24.382,24.4025,24.386,0.0895,0.36842647,0.0735,0.30236337,-0.01230265,1.48003862,-0.07499908,1.30042794,2.97757317,3.79250014,-0.96267111,1.09713319,0.44458166,0.51642258,0.59615802,Europe,Exotic,24.367045,24.191104,23.951722,23.815909,55.67337874,0.13432753,24.14606158,24.58802842,
JPYGBP,JAPANESE YEN / BRITISH POUND,0.005485,0.005493,0.005468,0.00548,0.005488,0.00548,-0.000005,-0.0911577,-0.000004,-0.07293946,-0.43604651,1.1443337,-0.52641133,1.1443337,0.0913242,-9.89805985,-13.97174254,-13.00206382,0.45720556,0.3826661,0.53956705,Asia,Minor,0.0054588,0.00545182,0.00553476,0.00583779,53.6128863,0.0000287,0.00538497,0.00553263,
CHFDKK,SWISS FRANC / DANISH KRONE,7.71077,7.7308,7.6942,7.70599,7.706,7.70467,-0.00478,-0.06199121,-0.00179,-0.02322329,-0.20732971,-0.9741962,-0.31189765,-1.16977889,1.16658111,3.05570043,-1.54102675,2.55236752,0.47568298,0.33256503,0.39189736,Europe,Exotic,7.7647525,7.7733292,7.7138245,7.6182984,36.18475219,0.03137855,7.68252701,7.84697799,
CHFGBP,SWISS FRANC / BRITISH POUND,0.8951,0.8983,0.894,0.8948,0.8956,0.8948,-0.0003,-0.03351581,-0.0001,-0.01117443,-0.6440151,0.20156775,-0.46718576,-0.54462599,1.54334998,1.30193592,-4.93997663,0.13428827,0.48098434,0.37324853,0.38961342,Europe,Minor,0.897465,0.896456,0.89028,0.8904555,45.31803298,0.00370855,0.89353091,0.90139909,
