Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.82805,7.82975,7.828,7.82896,7.83014,7.82901,0.00091,0.01162486,0.00043,0.00549273,-0.02222024,-0.02222024,0.1120176,-0.06777913,0.09652991,-0.25887725,-0.25913139,0.24918369,0.02235565,0.05288759,0.07444053,Asia,Exotic,7.8256775,7.8262546,7.8261807,7.83316495,51.77397239,0.00574577,7.81384913,7.83750587,
EURDKK,EURO / DANISH KRONE,7.45582,7.45817,7.45582,7.45655,7.45723,7.45617,0.00073,0.00979101,-0.00014,-0.00187751,0.00053644,0.00053644,0.0272318,0.04092037,0.11156998,0.05890909,0.26166148,0.27730223,0.031519,0.05615447,0.06575437,Europe,Exotic,7.4563175,7.4536984,7.4512415,7.44806374,54.74243209,0.00406308,7.45274657,7.45988843,Shooting Star
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7485,3.7505,3.7485,3.7505,3.749,3.7485,0.002,0.05335468,0.002,0.05335468,0.05869327,0.05869327,0.04001067,0.04908421,0.06456639,0.03200597,-0.19957424,-0.14643237,0.05335468,0.04641991,0.07830694,Middle East,Exotic,3.7490485,3.7487372,3.7485284,3.7500177,58.29491508,0.0029392,3.74676684,3.75133016,Marubozu White
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.23,83.27,83.177,83.177,83.223,83.173,-0.053,-0.06367896,-0.053,-0.06367896,0.14568484,0.14568484,-0.01803058,0.5707031,0.53059054,1.68337408,2.11781172,0.58043218,0.11180976,0.16886882,0.24310932,Asia,Exotic,83.07635,82.9033,82.56884,82.343905,55.51387589,0.19278422,82.80081396,83.35188604,
EURSGD,EURO / SINGAPORE DOLLAR,1.44109,1.4424,1.4399,1.44101,1.44156,1.44113,-0.00008,-0.00555135,0.00051,0.03540437,-0.2139741,-0.2139741,-0.00971446,-1.4559256,-2.1677733,-0.77738759,1.44671444,0.50986957,0.17362317,0.40174733,0.4056402,,Exotic,1.45029,1.4620672,1.4630792,1.4514312,35.95325621,0.00612897,1.43363322,1.46694678,Doji
EURRON,EURO / ROMANIAN LEU,4.9735,4.9795,4.9689,4.9689,4.9709,4.9689,-0.0046,-0.0924902,-0.0045,-0.09048136,-0.06837882,-0.06837882,-0.09650763,0.4772208,0.32304307,0.80990387,0.62575942,0.47518906,0.21332689,0.16943145,0.17502679,Europe,Exotic,4.969875,4.953464,4.9523543,4.93736185,54.83530563,0.00875388,4.96176553,4.97798447,
CHFEUR,SWISS FRANC / EURO,1.0377,1.0395,1.037,1.0388,1.0396,1.0388,0.0011,0.10600366,0.0013,0.1253012,0.55173749,0.55173749,0.54200542,-0.79266546,1.34634146,2.66851156,1.65378217,2.86166947,0.24108004,0.41777531,0.36616745,Europe,Minor,1.039425,1.042094,1.035439,1.023115,48.72852569,0.00376879,1.03010623,1.04874377,
CHFGBP,SWISS FRANC / BRITISH POUND,0.8982,0.9003,0.8982,0.8999,0.9007,0.8999,0.0017,0.18926742,0.0019,0.21158129,0.50256868,0.50256868,0.62618808,0.54748603,2.7048619,1.34009009,1.18057117,0.70501343,0.25606769,0.41736156,0.3978123,Europe,Minor,0.898135,0.89663,0.890611,0.8905645,55.30960539,0.00366903,0.89444216,0.90182784,
GBPEUR,BRITISH POUND / EURO,1.15484,1.15594,1.15296,1.1543,1.15443,1.1543,-0.00054,-0.04675972,-0.00061,-0.05281797,0.07803017,0.07803017,-0.05195255,-1.29970073,-1.29801279,1.34328358,0.49363154,2.17756927,0.25846517,0.34808795,0.42110121,Europe,Minor,1.156854,1.1617664,1.1621861,1.1484373,43.61413686,0.00475116,1.14713439,1.16657361,Spinning Top Black
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.31805,7.32417,7.30518,7.31427,7.31497,7.3144,-0.00378,-0.0516531,-0.0042,-0.05738904,0.2921996,0.2921996,-0.07923421,0.59053846,0.82682109,6.3354021,4.02295418,5.88774345,0.25995253,0.27991832,0.37709489,Asia,Exotic,7.305056,7.2781416,7.2200666,7.0451028,54.53146021,0.02702284,7.26676023,7.34335177,
