Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45706,7.4579,7.45605,7.45675,7.45748,7.45637,-0.00031,-0.00415713,-0.0004,-0.00536398,0.00053643,0.00321866,0.01247348,-0.00965475,0.09396288,0.09396288,0.2528926,0.27999188,0.02481207,0.0373975,0.05172091,Europe,Exotic,7.4558705,7.4543026,7.4516717,7.44856579,54.64639178,0.00364885,7.45310911,7.45863189,Spinning Top Black
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7489,3.7489,3.7468,3.7468,3.7473,3.7468,-0.0021,-0.05601643,-0.0021,-0.05601643,-0.09865351,-0.04001814,-0.04535147,-0.0818695,-0.07733952,-0.05335041,-0.29803087,-0.24494143,0.05604783,0.03575159,0.06547086,Middle East,Exotic,3.7493135,3.748748,3.7485704,3.7497807,41.56852496,0.0025404,3.74706489,3.75156211,Marubozu Black
USDBRL,U.S. DOLLAR / BRAZILIAN REAL,5.0496,5.0496,5.046,5.046,5.048,5.046,-0.0036,-0.07129278,-0.0036,-0.07129278,-1.95468853,0.2782194,-2.11445199,2.34671318,5.21048352,2.40487062,-4.66473956,-4.54029512,0.07134364,1.05576001,1.03620648,Americas,Exotic,5.019255,4.96386,4.90322,5.006035,53.89514079,0.05125319,4.81578578,5.22272422,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8201,7.82411,7.81828,7.82342,7.824,7.8238,0.00332,0.0424547,0.00402,0.05141059,-0.10062186,-0.09296742,-0.05914628,-0.11210133,0.0232689,-0.32602838,-0.33123466,0.17824445,0.07456883,0.07756894,0.07454176,Asia,Exotic,7.824235,7.8287992,7.8259645,7.83350845,46.36169914,0.00597693,7.81356658,7.83490342,
EURRON,EURO / ROMANIAN LEU,4.9603,4.9672,4.9603,4.9604,4.9624,4.9604,0.0001,0.00201601,0.0011,0.02218055,-0.09868487,-0.23932587,-0.263396,-0.00201593,0.49229149,0.60622532,0.45972821,0.30331217,0.15926456,0.28429819,0.19728189,Europe,Exotic,4.968815,4.956086,4.9523186,4.93815235,45.3918159,0.01041702,4.95930158,4.97832842,"Gravestone Doji, Long Upper Shadow, Shooting Star"
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.14,83.29,83.13,83.27,83.32,83.27,0.13,0.15636276,0.12,0.1443175,0.20698452,0.25765748,0.04805959,0.54334702,1.52401853,2.00906529,1.25489433,0.69289092,0.19246963,0.18552511,0.22587171,Asia,Exotic,83.1451,82.97548,82.58985,82.355025,57.54878371,0.18016246,82.94490519,83.34529481,
CHFCAD,SWISS FRANC / CANADIAN DOLLAR,1.5067,1.5104,1.5061,1.5068,1.5084,1.5068,0.0001,0.00663702,0.0003,0.01991371,0.39978678,1.59800418,0.57402216,-1.07018581,-1.23230205,0.52705317,8.98307537,2.8602635,0.28550561,0.40947663,0.54088565,Europe,Minor,1.491865,1.516114,1.505868,1.4918145,54.73034256,0.00779518,1.46764144,1.51608856,Long Upper Shadow
CHFDKK,SWISS FRANC / DANISH KRONE,7.7877,7.8107,7.7866,7.79623,7.7978,7.7962,0.00853,0.1095317,0.00993,0.12753169,0.70826982,1.16171643,0.78377889,0.11338829,0.94689956,2.86390198,1.47113182,3.75329376,0.31335885,0.4178172,0.44077264,Europe,Exotic,7.7473125,7.770204,7.7233702,7.62863385,59.23487391,0.03346408,7.68607138,7.80855362,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.29892,7.31293,7.28967,7.3104,7.3113,7.31043,0.01148,0.15728354,0.01103,0.15110893,0.04543539,0.23913473,-0.10453604,0.13176674,2.29028142,6.3948386,1.97664849,5.83171796,0.31908166,0.36938395,0.34953418,Asia,Exotic,7.3035505,7.2908026,7.2321107,7.0547761,53.59750725,0.02707367,7.2795018,7.3275992,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0023,1.0035,1.0003,1.0003,1.0011,1.0003,-0.002,-0.19954106,-0.0018,-0.17962279,0.15018022,-0.53693945,0.26059938,-0.1397624,-0.77373276,0.94863256,-4.01113137,1.19372787,0.31990403,0.35830291,0.40515377,,Exotic,1.00716,1.003448,1.006398,0.9964035,43.61109416,0.00388256,0.99473158,1.01958842,
CHFEUR,SWISS FRANC / EURO,1.0439,1.0472,1.0439,1.0452,1.046,1.0452,0.0013,0.124533,0.0014,0.13412531,0.71304683,1.17123221,0.72275224,0.14371946,0.81018519,2.75265435,1.18102614,3.49539558,0.3257017,0.41153895,0.39848192,Europe,Minor,1.0388,1.042102,1.036119,1.0238485,59.0039924,0.0039606,1.03064378,1.04695622,
GBPDKK,BRITISH POUND / DANISH KRONE,8.6404,8.648,8.6192,8.6228,8.6231,8.6203,-0.0176,-0.20369427,-0.0176,-0.20369427,0.33056447,0.37459462,0.14284885,-0.59829158,-1.01251291,2.10853146,2.59461042,2.7465653,0.33413774,0.36780267,0.42189688,Europe,Exotic,8.6125795,8.655719,8.6630122,8.55766135,48.29452018,0.03509133,8.56498689,8.66017211,
GBPEUR,BRITISH POUND / EURO,1.15895,1.15982,1.15593,1.15636,1.15648,1.15636,-0.00259,-0.22347815,-0.00268,-0.23122584,0.04845129,0.25663256,0.13161996,-0.60512292,-1.1269388,2.01946236,2.27300869,2.35991856,0.33652557,0.27808671,0.39279648,Europe,Minor,1.1553835,1.1612208,1.1625554,1.14907215,47.0896265,0.00430766,1.14913779,1.16162921,
EURCHF,EURO / SWISS FRANC,0.95734,0.95774,0.95449,0.95636,0.95662,0.95629,-0.00098,-0.10236698,-0.00106,-0.11071421,-0.6719774,-1.11462663,-0.67610373,-0.1180169,-0.7637073,-2.62488036,-1.15039949,-3.3413515,0.34049597,0.45524181,0.46749961,Europe,Minor,0.96195,0.9589402,0.964506,0.97622485,41.47502625,0.00425471,0.9543688,0.9695312,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7512,5.7554,5.7356,5.7356,5.7376,5.7356,-0.0156,-0.27124774,-0.0135,-0.23481936,-0.09406027,-0.05924377,-0.18099548,-0.64956436,-0.6736514,2.48914461,2.73145743,2.55878409,0.34521236,0.37425931,0.43618416,Europe,Exotic,5.742965,5.757302,5.759983,5.6778915,44.68055374,0.02384854,5.71281529,5.77311471,
EURGBP,EURO / BRITISH POUND,0.86224,0.86518,0.86216,0.8647,0.86493,0.86486,0.00246,0.2853034,0.00225,0.26088469,-0.02312406,-0.2296092,-0.05316936,0.67879889,1.19012791,-1.94255129,-2.14340682,-2.27611772,0.35028301,0.31554323,0.41779399,Europe,Minor,0.865065,0.8606948,0.8597154,0.86993295,53.78366673,0.00342535,0.86048366,0.86964634,
SGDJPY,SINGAPORE DOLLAR / JAPANESE YEN,109.132,109.545,109.132,109.304,109.347,109.314,0.172,0.1576073,-0.019,-0.01737969,-0.04572306,-0.01280667,0.66493526,1.55249784,4.80573774,9.06950057,7.92152526,11.92185212,0.37844079,0.66187879,0.55381557,,Exotic,108.7337,107.99654,106.61164,103.31631,58.17849918,0.65718376,107.89382332,109.57357668,
EURSGD,EURO / SINGAPORE DOLLAR,1.44662,1.4481,1.4425,1.44267,1.44305,1.4427,-0.00395,-0.27305028,-0.0029,-0.20061291,-0.15433594,-0.09902361,0.10963923,-1.31541145,-2.78110975,-1.1869863,3.38459554,0.6256539,0.3882149,0.38652396,0.42578678,,Exotic,1.446421,1.4598498,1.4626657,1.45192365,41.55291333,0.00602904,1.43366135,1.45918065,
CHFGBP,SWISS FRANC / BRITISH POUND,0.9003,0.904,0.9003,0.9039,0.9047,0.9039,0.0036,0.39986671,0.0036,0.39986671,0.71309192,0.9492964,0.63460254,0.79170384,1.99729181,0.74676772,-1.0617338,1.152641,0.41097412,0.41836233,0.41808936,Europe,Minor,0.898745,0.897064,0.890915,0.890707,61.72444111,0.00372739,0.89440105,0.90308895,
GBPCHF,BRITISH POUND / SWISS FRANC,1.10969,1.1103,1.10575,1.1058,1.10596,1.10559,-0.00389,-0.35054835,-0.00355,-0.32000721,-0.67010402,-0.90776303,-0.58884344,-0.75924829,-1.86281383,-0.72450106,1.08045851,-1.10980943,0.41148542,0.46007822,0.49369247,Europe,Minor,1.111667,1.1138298,1.1215933,1.12182885,38.82497262,0.00540822,1.10634073,1.11699327,
CADEUR,CANADIAN DOLLAR / EURO,0.6923,0.6952,0.6923,0.6934,0.6938,0.6934,0.0011,0.15889065,0.0009,0.1299639,0.31828704,-0.41648715,0.14442519,1.24105709,2.07566613,2.21108491,-7.12563622,0.62400232,0.41889354,0.51165616,0.58100053,Americas,Minor,0.696045,0.687162,0.687863,0.6861165,51.22029198,0.00380437,0.68891213,0.70317787,
CHFSGD,SWISS FRANC / SINGAPORE DOLLAR,1.50918,1.51447,1.50808,1.50821,1.50899,1.50843,-0.00097,-0.06427331,-0.00137,-0.09075372,0.54733333,1.04582608,0.90048503,-1.15607694,-1.95605539,1.51032798,4.59516627,4.06687505,0.42371757,0.49453738,0.48277197,,Exotic,1.502789,1.5215966,1.5157944,1.48702265,50.0359536,0.00729508,1.48285931,1.52271869,Long Upper Shadow
