Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7489,3.7489,3.7488,3.7488,3.7493,3.7488,-0.0001,-0.00266745,-0.0001,-0.00266745,-0.04532729,0.01333938,0.0080032,-0.02853432,-0.02400192,0,-0.24481107,-0.19169329,0.00266752,0.02507553,0.06304448,Middle East,Exotic,3.7494135,3.748788,3.7485904,3.7497907,48.70918395,0.00239754,3.74746274,3.75136426,
EURDKK,EURO / DANISH KRONE,7.45706,7.4579,7.45573,7.45573,7.45708,7.45589,-0.00133,-0.01783545,-0.00142,-0.01904213,-0.01314253,-0.01046066,-0.00120711,-0.02333231,0.08027115,0.08027115,0.23917913,0.2662747,0.02910513,0.03825612,0.05191605,Europe,Exotic,7.4558195,7.4542822,7.4516615,7.44856069,50.29387423,0.00367171,7.45308745,7.45855155,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8201,7.82272,7.81828,7.82218,7.82249,7.82201,0.00208,0.02659813,0.00278,0.0355526,-0.11645576,-0.10880253,-0.07498675,-0.1279334,0.00741536,-0.34182655,-0.34703201,0.16236635,0.05678998,0.07401317,0.07373364,Asia,Exotic,7.824173,7.8287744,7.8259521,7.83350225,44.87139029,0.00587764,7.81347199,7.83487401,
USDBRL,U.S. DOLLAR / BRAZILIAN REAL,5.0496,5.0496,5.0443,5.0443,5.0463,5.0443,-0.0053,-0.10495881,-0.0053,-0.10495881,-1.98772005,0.24443561,-2.14742968,2.31223252,5.17503805,2.37037037,-4.69685806,-4.57245554,0.10506909,1.0625051,1.03773946,Americas,Exotic,5.01917,4.963826,4.903203,5.0060265,53.64017612,0.05137462,4.81574413,5.22259587,
EURRON,EURO / ROMANIAN LEU,4.9603,4.9651,4.9603,4.96261,4.96419,4.96261,0.00231,0.04656976,0.00331,0.06674329,-0.05417598,-0.19487963,-0.21896049,0.04253603,0.53706367,0.65104827,0.50448589,0.34800016,0.11692841,0.27583096,0.19535752,Europe,Exotic,4.9689255,4.9561302,4.9523407,4.9381634,48.10352745,0.01026702,4.95976066,4.97809034,
CADSGD,CANADIAN DOLLAR / SINGAPORE DOLLAR,1.0023,1.0035,1.0022,1.0024,1.0032,1.0024,0.0001,0.00997705,0.0003,0.02993713,0.36043252,-0.32812966,0.47108349,0.0698812,-0.5654201,1.16056111,-3.8096152,1.40617097,0.13969268,0.32026503,0.39650879,,Exotic,1.007265,1.00349,1.006419,0.996414,46.52727057,0.00375399,0.9950363,1.0194937,Long Upper Shadow
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.14,83.254,83.13,83.216,83.266,83.216,0.076,0.09141208,0.066,0.07937462,0.14200101,0.19264111,-0.01682086,0.47814538,1.45818093,1.94291314,1.18923126,0.62759229,0.14916396,0.17686397,0.22390327,Asia,Exotic,83.1424,82.9744,82.58931,82.354755,55.80420358,0.17759103,82.94763306,83.33716694,
JPYCAD,JAPANESE YEN / CANADIAN DOLLAR,0.009113,0.009119,0.009103,0.009115,0.009123,0.009115,0.000002,0.02194667,0.000002,0.02194667,-0.36073459,0.29709507,-1.128105,-1.57650362,-4.00210637,-9.3756214,-3.6876585,-11.76185866,0.17576623,0.44021624,0.55439535,Asia,Minor,0.00911625,0.0092136,0.00930868,0.00971641,44.64533845,0.00005224,0.00900712,0.00922538,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7512,5.7554,5.7436,5.7554,5.7574,5.7554,0.0042,0.07302824,0.0063,0.10958237,0.25082738,0.28576407,0.16359206,-0.30659438,-0.33076457,2.84294981,3.08609912,2.91282968,0.20544606,0.34630605,0.42983115,Europe,Exotic,5.743955,5.757698,5.760181,5.6779905,51.9827628,0.02327711,5.71353853,5.77437147,
GBPDKK,BRITISH POUND / DANISH KRONE,8.6404,8.648,8.6286,8.6474,8.6493,8.6468,0.007,0.08101477,0.007,0.08101477,0.6167977,0.66095346,0.42854654,-0.31470829,-0.73011135,2.39983706,2.88730275,3.03969115,0.22483369,0.34594186,0.41692851,Europe,Exotic,8.6138095,8.656211,8.6632582,8.55778435,53.72360312,0.0344199,8.56400381,8.66361519,
GBPEUR,BRITISH POUND / EURO,1.15895,1.15982,1.1572,1.15974,1.15989,1.15974,0.00079,0.06816515,0.0007,0.06039481,0.34088943,0.54967921,0.4243012,-0.31459515,-0.83793628,2.31766169,2.57194913,2.65911304,0.22640857,0.25606331,0.38779116,Europe,Minor,1.1555525,1.1612884,1.1625892,1.14908905,53.83315687,0.00421694,1.14903332,1.16207168,
EURGBP,EURO / BRITISH POUND,0.86224,0.86424,0.86217,0.86218,0.86224,0.86215,-0.00006,-0.00695862,-0.00027,-0.03130616,-0.31448722,-0.52037061,-0.34444496,0.38539011,0.89522896,-2.22832065,-2.42859083,-2.56091497,0.24009186,0.293505,0.4127853,Europe,Minor,0.864939,0.8606444,0.8596902,0.86992035,47.15188721,0.0033575,0.86018893,0.86968907,"Gravestone Doji, Long Upper Shadow"
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.29892,7.3077,7.28967,7.30683,7.30689,7.30627,0.00791,0.1083722,0.00746,0.1022006,-0.00342134,0.19018341,-0.15331953,0.08286786,2.24032843,6.34288118,1.92684866,5.78003553,0.2473363,0.35503488,0.34627302,Asia,Exotic,7.303372,7.2907312,7.232075,7.05475825,52.6578538,0.0267001,7.27947681,7.32726719,
CHFCAD,SWISS FRANC / CANADIAN DOLLAR,1.5067,1.5104,1.5061,1.5062,1.5078,1.5062,-0.0005,-0.03318511,-0.0003,-0.01991371,0.3598081,1.55754838,0.5339741,-1.10957915,-1.27163083,0.48702382,8.93967887,2.81930507,0.28550561,0.40947663,0.54088565,Europe,Minor,1.491835,1.516102,1.505862,1.4918115,54.24170241,0.00779518,1.46768412,1.51598588,Long Upper Shadow
SGDCHF,SINGAPORE DOLLAR / SWISS FRANC,0.6609,0.6622,0.6603,0.6617,0.6618,0.6617,0.0008,0.12104706,0.0006,0.09075783,-0.66056148,-1.15028384,-0.92828268,1.11552567,1.90974896,-1.59131469,-4.43385326,-3.73872563,0.28774799,0.48007372,0.46376037,,Exotic,0.66438,0.65629,0.65891,0.672039,49.19925239,0.00306917,0.65540836,0.67335164,
CADJPY,CANADIAN DOLLAR / JAPANESE YEN,109.669,109.942,109.619,109.676,109.693,109.687,0.007,0.00638284,0.017,0.0155026,0.39176919,-0.26643872,1.19112423,1.62053981,4.19334613,10.38578057,3.78810103,13.36255013,0.29465695,0.53828079,0.68344575,Americas,Minor,109.6247,108.47126,107.38485,103.060665,55.7163991,0.75686974,108.30434246,110.94505754,Long Upper Shadow
NZDAUD,NEW ZEALAND DOLLAR / AUSTRALIAN DOLLAR,0.93778,0.9383,0.93541,0.93685,0.93719,0.93683,-0.00093,-0.09917038,-0.00119,-0.12686026,-0.11195223,0.54196179,0.32339933,1.87138445,1.05166649,1.01679929,5.30072272,0.58838056,0.30895543,0.32388408,0.40705149,Pacific,Minor,0.93009,0.9252318,0.9224422,0.9236612,62.68242467,0.00370332,0.91553465,0.94464535,
