Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
CADGBP,CANADIAN DOLLAR / BRITISH POUND,0.598,0.6016,0.5971,0.5999,0.6007,0.5999,0.0019,0.31772575,0.0019,0.31772575,-0.56356705,-0.56356705,-1.16968699,2.89879931,2.21502811,0.7388749,-7.47995065,-1.57506153,0.75364261,0.5507052,0.49663728,Americas,Minor,0.59949,0.590176,0.590988,0.5970895,55.95183208,0.00308846,0.58705426,0.61192574,
HKDJPY,HONG KONG DOLLAR / JAPANESE YEN,18.95891,19.09115,18.94733,19.06865,19.089,19.046,0.10974,0.57883075,0.10723,0.56551672,-0.01337095,-0.01337095,0.02974351,1.25034713,3.55551283,13.69552722,3.5705867,13.63983099,0.75905154,0.78054815,0.60501826,,Exotic,18.9569575,18.711461,18.3576699,17.6662327,61.04110406,0.12280427,18.72848651,19.18542849,
USDRON,U.S. DOLLAR / ROMANIAN LEU,4.7084,4.73578,4.69879,4.7198,4.7258,4.7208,0.0114,0.24212047,0.0119,0.25276663,0.37642755,0.37642755,0.31455898,2.15796195,3.8117233,4.42497456,-5.41293413,1.86889867,0.78722394,0.76282291,0.67556294,Europe,Exotic,4.68194,4.594004,4.561157,4.55590385,61.72434308,0.03421177,4.60038645,4.76349355,
USDJPY,U.S. DOLLAR / JAPANESE YEN,148.479,149.539,148.363,149.351,149.351,149.341,0.872,0.58728844,0.864,0.58186912,0.01406281,0.01406281,0.05426409,1.14656842,3.69868911,13.40501302,3.29275884,13.91708936,0.79265046,0.80216652,0.61296341,Americas,Major,148.36545,146.4728,143.69644,138.40402,61.39866814,0.97521228,146.56197419,150.16892581,
CADJPY,CANADIAN DOLLAR / JAPANESE YEN,108.298,109.109,108.245,108.958,108.958,108.943,0.66,0.60942954,0.645,0.59549639,-0.91935,-0.91935,-1.51846563,0.65125216,1.10422389,11.60870679,2.64821427,12.62041593,0.79818929,0.93792968,0.77435667,Americas,Minor,109.42505,108.29396,107.10519,102.813185,49.65849581,0.84556982,107.80285747,111.04724253,
EURHKD,EURO / HONG KONG DOLLAR,8.2599,8.2766,8.21106,8.23624,8.23632,8.23501,-0.02366,-0.28644415,-0.02226,-0.26954047,-0.52249532,-0.52249532,-0.40822249,-2.03687426,-3.28874443,-3.8951886,6.13875472,-1.44501615,0.79819171,0.70670534,0.62564115,,Exotic,8.301957,8.4291018,8.4851719,8.479166,37.40989131,0.05391601,8.16676264,8.43715136,
NZDUSD,NEW ZEALAND DOLLAR / U.S. DOLLAR,0.59621,0.5971,0.59235,0.5943,0.59444,0.59434,-0.00191,-0.32035692,-0.00197,-0.33038724,-0.86738949,-0.86738949,-0.29527229,1.04049781,-3.43650987,-4.81300553,3.53838917,-6.40944882,0.80189077,0.98695699,0.86231289,Pacific,Major,0.5933095,0.5960616,0.6063679,0.6168117,49.74919312,0.00548787,0.58826928,0.59834972,
NOKJPY,NORWEGIAN KRONE / JAPANESE YEN,13.516,13.6036,13.495,13.518,13.549,13.538,0.002,0.01479728,-0.0173,-0.12781394,-2.9945534,-2.9945534,-2.67117863,-1.65150964,1.23567738,7.42212333,-1.53689271,1.79906771,0.8047425,1.33425788,0.98145914,,Exotic,13.7208,13.776254,13.522522,13.1815765,37.02315291,0.14393126,13.48999629,13.95160371,Long Upper Shadow
USDDKK,U.S. DOLLAR / DANISH KRONE,7.06858,7.1136,7.05644,7.09106,7.09082,7.09038,0.02248,0.3180271,0.0226,0.31973018,0.58583555,0.58583555,0.4812175,2.03786204,3.68350407,3.93181685,-5.73031467,2.0766396,0.81004019,0.71782739,0.63058959,Europe,Exotic,7.0269415,6.9213796,6.8730931,6.88073585,63.28804325,0.04604297,6.91011295,7.14377005,
EURUSD,EURO / U.S. DOLLAR,1.05454,1.05684,1.04827,1.0516,1.05136,1.05132,-0.00294,-0.27879455,-0.00305,-0.28919547,-0.51935029,-0.51935029,-0.44023669,-1.92036859,-3.40241035,-3.67581728,6.40170793,-1.7379929,0.81753747,0.72149617,0.63527313,Europe,Major,1.060873,1.0768806,1.0841251,1.08240175,36.93657084,0.00703286,1.04326989,1.07847611,
