Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURDKK,EURO / DANISH KRONE,7.45672,7.45927,7.45627,7.45813,7.45911,7.458,0.00141,0.01890912,0.0019,0.02548205,0.01904325,0.02172598,0.01931152,-0.01139566,0.112487,0.112487,0.27023284,0.29855042,0.04077106,0.03777244,0.0516544,Europe,Exotic,7.455777,7.4544104,7.4517443,7.44865929,59.5019256,0.00359587,7.4530783,7.4584757,
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.8235,7.82532,7.82116,7.82334,7.8246,7.82339,-0.00016,-0.00204512,0.00054,0.0069029,-0.10164341,-0.09398904,-0.08633351,-0.03833209,0.02224609,-0.32704761,-0.32857145,0.17722005,0.05318904,0.08156562,0.07390915,Asia,Exotic,7.8240305,7.8290114,7.8258486,7.8335855,46.43689299,0.00586649,7.81348255,7.83457845,Doji
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.27,83.29,83.229,83.235,83.285,83.235,-0.035,-0.04203194,-0.035,-0.04203194,0.16486558,0.21551724,0.04326975,0.49623298,1.48134601,1.9661889,1.26528378,0.65056774,0.07329176,0.16239675,0.21888554,Asia,Exotic,83.1544,82.98712,82.5967,82.35846,56.00565965,0.17165086,82.95565051,83.35314949,
EURRON,EURO / ROMANIAN LEU,4.9614,4.9654,4.9614,4.9653,4.9673,4.9653,0.0039,0.07860684,0.0039,0.07860684,0,-0.14077992,-0.052336,-0.14077992,0.59156014,0.70560652,0.52232007,0.40239414,0.0806224,0.25144802,0.18093263,Europe,Exotic,4.968535,4.956538,4.9524106,4.93834685,51.37063385,0.00995866,4.95917588,4.97789412,
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7463,3.7503,3.7463,3.7487,3.7492,3.7487,0.0024,0.06406321,0.0024,0.06406321,0.00533547,0.0106715,0.00533547,-0.02746864,-0.0266688,-0.00266752,-0.22092095,-0.1943557,0.10677202,0.05977679,0.06576295,Middle East,Exotic,3.749205,3.7487406,3.7485894,3.7497282,49.35447741,0.00267782,3.74687822,3.75153178,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.30745,7.31399,7.30132,7.31148,7.31262,7.31186,0.00403,0.0551492,0.00387,0.05295849,0.06021557,0.25394353,0.08267811,0.18539453,2.30539324,6.41055682,1.94762821,5.84735298,0.17353027,0.34101071,0.33362383,Asia,Exotic,7.30479,7.2931682,7.2344739,7.05716755,54.07055002,0.02598668,7.28359502,7.32598498,
USDJPY,U.S. DOLLAR / JAPANESE YEN,149.767,149.829,149.452,149.507,149.525,149.507,-0.26,-0.173603,-0.255,-0.17027016,0.1560888,0.11852943,0.69303196,1.63561091,8.30779707,12.77929484,1.80516969,14.03607795,0.2522549,0.52266946,0.55785018,Americas,Major,148.8249,147.13146,144.18012,138.831995,59.88477694,0.91105779,147.50712492,150.14267508,
HKDJPY,HONG KONG DOLLAR / JAPANESE YEN,19.1392,19.15262,19.10084,19.1095,19.11247,19.10974,-0.0297,-0.1551789,-0.02946,-0.15392686,0.24760916,0.20082638,0.79429672,1.69441917,8.27838529,13.15739297,2.14379293,13.88327702,0.27108755,0.53443316,0.55662882,,Exotic,19.0184125,18.7909514,18.4206838,17.72039385,60.5390748,0.11553501,18.85943173,19.17739327,
SGDHKD,SINGAPORE DOLLAR / HONG KONG DOLLAR,5.7086,5.7223,5.7065,5.7095,5.7131,5.7097,0.0009,0.01576569,0.0011,0.01926985,-0.45158141,-0.3734143,-0.23763345,-0.68362093,-3.48074517,-3.76382147,4.42424464,-2.01143014,0.27687725,0.41196313,0.40305827,Asia,Exotic,5.7208,5.752726,5.792383,5.8363705,41.12619659,0.02347,5.69637141,5.74522859,Long Upper Shadow
USDSGD,U.S. DOLLAR / SINGAPORE DOLLAR,1.36907,1.37111,1.36724,1.3697,1.37,1.36974,0.00063,0.04601664,0.00058,0.04236298,0.35167412,0.32962203,0.22684033,0.69250448,3.59719848,3.6144396,-4.5039392,2.20497705,0.28305199,0.4210866,0.4141063,Asia,Exotic,1.36684,1.3600982,1.3502752,1.3415067,58.50718722,0.00578107,1.36041081,1.37326919,Spinning Top White
JPYCAD,JAPANESE YEN / CANADIAN DOLLAR,0.009136,0.009145,0.009119,0.00913,0.009138,0.00913,-0.000006,-0.06567426,-0.000007,-0.07661158,-0.19676432,0.46214789,-1.0512626,-0.86862106,-3.84412849,-9.22648638,-2.91365376,-11.61665053,0.28511898,0.34872305,0.55852503,Asia,Minor,0.00911665,0.00920794,0.0093034,0.0097113,46.60580241,0.00005195,0.00900766,0.00922564,Spinning Top Black
AUDEUR,AUSTRALIAN DOLLAR / EURO,0.59938,0.6006,0.5987,0.599,0.5992,0.599,-0.00038,-0.06339885,-0.00024,-0.04005073,-0.64687345,-1.5288509,-0.73907136,0.37199638,-2.29978796,-2.40007821,-7.33292079,-5.80131784,0.31735427,0.68508816,0.70999309,Pacific,Minor,0.6039245,0.598516,0.6055317,0.61583005,43.61113402,0.0041323,0.59890014,0.60894886,
