Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURRON,EURO / ROMANIAN LEU,4.9741,4.975,4.9736,4.9736,4.9756,4.9736,-0.0005,-0.01005207,-0.0001,-0.00201058,0.02614484,0.02614484,0.10264667,0.51534933,0.50722441,0.90525829,0.53566736,0.57022688,0.02814862,0.16096691,0.17335104,Europe,Exotic,4.969615,4.95263,4.9522069,4.93726185,61.16128625,0.00827615,4.9610289,4.9782011,
EURDKK,EURO / DANISH KRONE,7.45643,7.4594,7.45634,7.45634,7.45718,7.45614,-0.00009,-0.00120701,-0.00034,-0.00455967,-0.00227989,-0.00227989,-0.00040234,0.06119343,0.11883198,0.05609112,0.27137662,0.27447811,0.0410389,0.05835547,0.06565137,Europe,Exotic,7.4563925,7.453593,7.4511423,7.44795754,54.00099895,0.00417985,7.45271039,7.46007461,"Gravestone Doji, Long Upper Shadow, Shooting Star"
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7485,3.7505,3.7485,3.7485,3.7508,3.7505,0,0,0,0,0.05869327,0.05869327,0.06032715,-0.01867065,-0.00800256,-0.02133732,-0.25279404,-0.19968051,0.05335468,0.0608408,0.08208467,Middle East,Exotic,3.748929,3.7486858,3.7484774,3.7500487,48.05914606,0.00301145,3.74671458,3.75114342,"Gravestone Doji, Long Upper Shadow"
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.83128,7.8327,7.8282,7.8287,7.8292,7.82817,-0.00258,-0.03294481,-0.00288,-0.03677419,-0.0255405,-0.0255405,0.10587667,-0.20777565,0.09717303,-0.26218965,-0.26523915,0.24585441,0.05748448,0.07347976,0.07750318,Asia,Exotic,7.8261705,7.8257334,7.8261562,7.8330015,51.46871948,0.00605314,7.81310757,7.83923343,
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.212,83.304,83.19,83.23,83.28,83.23,0.018,0.0216315,0.028,0.03365304,0.20949721,0.20949721,-0.0228231,0.67860988,1.04529617,1.74816626,2.13523132,0.64452157,0.1370357,0.17731016,0.25808741,Asia,Exotic,83.074,82.88236,82.56407,82.34227,57.63888603,0.20045993,82.80114913,83.34685087,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.32083,7.32956,7.30972,7.31784,7.31866,7.31785,-0.00299,-0.04084236,-0.00341,-0.04657675,0.34115092,0.34115092,0.09848659,0.71706392,0.78544956,6.38730303,3.0717983,5.93942588,0.27141943,0.32678577,0.39038994,Asia,Exotic,7.306266,7.2752432,7.2174035,7.0433889,55.63528802,0.02764076,7.26537312,7.34715888,Spinning Top Black
CHFEUR,SWISS FRANC / EURO,1.0369,1.0392,1.0363,1.0376,1.0384,1.0376,0.0007,0.06750892,0.0008,0.07716049,0.43558223,0.43558223,0.49394673,-0.9451074,1.2490242,2.54991105,1.2490242,2.74284583,0.27984174,0.40828897,0.36692995,Europe,Minor,1.039825,1.042278,1.035305,1.0229985,46.36670529,0.00386639,1.02999487,1.04965513,
CHFGBP,SWISS FRANC / BRITISH POUND,0.8985,0.9002,0.8972,0.898,0.8988,0.898,-0.0005,-0.0556483,-0.0004,-0.0445236,0.29037302,0.29037302,0.0111371,0.16731735,2.55824577,1.12612613,0.95559303,0.49239033,0.33437361,0.44234221,0.40751576,Europe,Minor,0.89802,0.896608,0.890514,0.890555,51.6830926,0.00377434,0.8944119,0.9016281,
CHFDKK,SWISS FRANC / DANISH KRONE,7.73112,7.7533,7.72658,7.73936,7.74074,7.73936,0.00824,0.10658223,0.00476,0.06154164,0.42378709,0.42378709,0.48637349,-0.91209382,1.39236062,2.64770754,1.53149442,2.99646004,0.34581924,0.48102084,0.4252889,Europe,Exotic,7.755019,7.7708566,7.7167472,7.62163275,46.82353376,0.03351115,7.68018429,7.82985371,
EURCHF,EURO / SWISS FRANC,0.96339,0.96538,0.9619,0.96334,0.96347,0.96332,-0.00005,-0.00519001,-0.00045,-0.04669067,-0.39291106,-0.39291106,-0.41556401,0.99385654,-1.2333781,-2.45250921,-1.14520267,-2.63588769,0.36178397,0.4894498,0.44214059,Europe,Minor,0.9610295,0.9587846,0.9652674,0.97703275,54.1080172,0.00428479,0.95186259,0.97019641,Doji
