Ticker,Description,Open,High,Low,Price,Ask,Bid,Change from Open,Change from Open %,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,Volatility,Volatility Week,Volatility Month,Region,Group,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern
EURRON,EURO / ROMANIAN LEU,4.9741,4.9749,4.9741,4.97416,4.97585,4.97416,0.00006,0.00120625,0.00046,0.00924865,0.03740724,0.03740724,0.11391768,0.5266668,0.51854097,0.91661967,0.54698712,0.58155053,0.02412497,0.15855384,0.17280262,Europe,Exotic,4.969643,4.9526412,4.9522125,4.93726465,61.70507681,0.00826187,4.96100163,4.97828437,"Long Upper Shadow, Shooting Star"
EURDKK,EURO / DANISH KRONE,7.45643,7.4594,7.45643,7.45694,7.45771,7.45718,0.00051,0.00683973,0.00026,0.00348681,0.00576677,0.00576677,0.00764447,0.0692452,0.12688839,0.06414248,0.27944531,0.28254704,0.03983139,0.05811396,0.06559648,Europe,Exotic,7.4564225,7.453605,7.4511483,7.44796054,56.09176024,0.00417343,7.45273282,7.46011218,"Long Upper Shadow, Shooting Star"
USDSAR,U.S. DOLLAR / SAUDI ARABIAN RIYAL,3.7485,3.7505,3.7485,3.7485,3.7489,3.7484,0,0,0,0,0.00266788,0.00266788,0.06032715,-0.01867065,-0.00800256,-0.02133732,-0.25279404,-0.19968051,0.05335468,0.0608408,0.08208467,Middle East,Exotic,3.748929,3.7486858,3.7484774,3.7500487,48.05914606,0.00301145,3.74671458,3.75114342,"Gravestone Doji, Long Upper Shadow"
USDHKD,U.S. DOLLAR / HONG KONG DOLLAR,7.83128,7.8327,7.82791,7.82791,7.82874,7.8281,-0.00337,-0.04303256,-0.00367,-0.04686155,-0.035629,-0.035629,0.09577491,-0.21784576,0.08707215,-0.27225427,-0.27530346,0.23573852,0.0611913,0.07422112,0.07767167,Asia,Exotic,7.826131,7.8257176,7.8261483,7.83299755,50.56749017,0.00607385,7.81309415,7.83916785,
USDINR,U.S. DOLLAR / INDIAN RUPEE,83.212,83.2675,83.19,83.213,83.261,83.211,0.001,0.00120175,0.011,0.01322084,0.18902909,0.18902909,-0.04324376,0.65804594,1.02465733,1.72738386,2.11436986,0.62396459,0.09316024,0.16853506,0.25609307,Asia,Exotic,83.07315,82.88202,82.5639,82.342185,57.1503517,0.19785279,82.80214869,83.34415131,
USDCNH,U.S. DOLLAR / OFFSHORE CHINESE YUAN,7.32083,7.32956,7.30972,7.31745,7.31864,7.31804,-0.00338,-0.04616963,-0.0038,-0.0519037,0.3358033,0.3358033,0.0931519,0.71169626,0.78007826,6.38163318,3.06630515,5.9337799,0.27141943,0.32678577,0.39038994,Asia,Exotic,7.3062465,7.2752354,7.2173996,7.04338695,55.52269891,0.02764076,7.26537535,7.34711765,Spinning Top Black
CHFEUR,SWISS FRANC / EURO,1.0369,1.0392,1.0363,1.0388,1.0396,1.0388,0.0019,0.1832385,0.002,0.19290123,0.55173749,0.55173749,0.61016949,-0.83054893,1.36612022,2.66851156,1.36612022,2.86166947,0.27984174,0.40828897,0.36692995,Europe,Minor,1.039885,1.042302,1.035317,1.0230045,48.55425735,0.00386639,1.03009536,1.04967464,
CHFGBP,SWISS FRANC / BRITISH POUND,0.8985,0.9002,0.8972,0.8975,0.8983,0.8975,-0.001,-0.11129661,-0.0009,-0.10017809,0.23453205,0.23453205,-0.04454839,0.1115449,2.50114207,1.06981982,0.89938168,0.43643688,0.33437361,0.44234221,0.40751576,Europe,Minor,0.897995,0.896598,0.890509,0.8905525,50.67818123,0.00377434,0.89437977,0.90161023,
CHFDKK,SWISS FRANC / DANISH KRONE,7.73112,7.7533,7.72658,7.7479,7.7497,7.7479,0.01678,0.21704488,0.0133,0.17195459,0.53459976,0.53459976,0.59725522,-0.80275523,1.50424206,2.7609742,1.64352939,3.11011152,0.34581924,0.48102084,0.4252889,Europe,Exotic,7.755446,7.7710274,7.7168326,7.62167545,48.92059977,0.03351115,7.68087657,7.83001543,
EURSGD,EURO / SINGAPORE DOLLAR,1.43732,1.4422,1.43728,1.4412,1.44145,1.44101,0.00388,0.26994685,0.004,0.27831895,-0.20081712,-0.20081712,-0.36571286,-1.21324285,-1.86572246,-0.7643049,2.61449077,0.52312199,0.34787933,0.43925826,0.41956104,,Exotic,1.4513145,1.462471,1.4631877,1.45139055,36.16835835,0.0063867,1.43471706,1.46791194,
EURCHF,EURO / SWISS FRANC,0.96339,0.96538,0.9619,0.96222,0.96228,0.9622,-0.00117,-0.12144614,-0.00157,-0.16289856,-0.50871642,-0.50871642,-0.53134304,0.87643889,-1.34820632,-2.56592005,-1.2601334,-2.74908532,0.36178397,0.4894498,0.44214059,Europe,Minor,0.9609735,0.9587622,0.9652562,0.97702715,51.86980228,0.00428479,0.95185015,0.97009685,
USDCAD,U.S. DOLLAR / CANADIAN DOLLAR,1.37061,1.37404,1.36906,1.37398,1.3741,1.37387,0.00337,0.24587592,0.00338,0.24660733,1.19908669,1.19908669,1.66333703,1.072532,3.46546583,1.88195165,0.87588561,1.45240012,0.36375323,0.66813116,0.53994568,Americas,Major,1.355019,1.3501918,1.3407589,1.34575415,70.55768107,0.00737313,1.33740359,1.37263441,
HKDJPY,HONG KONG DOLLAR / JAPANESE YEN,19.02378,19.06604,18.99436,19.01614,19.0194,19.01719,-0.00764,-0.04016026,-0.01299,-0.06826376,-0.28870758,-0.28870758,-0.16002839,2.02448655,2.91734092,13.38243992,3.22751903,13.32689706,0.37737518,0.71768302,0.61305159,,Exotic,18.936677,18.6699636,18.3308905,17.64526915,59.63475837,0.12229289,18.70093705,19.17241695,
USDJPY,U.S. DOLLAR / JAPANESE YEN,149.014,149.318,148.737,148.88,148.887,148.877,-0.134,-0.08992444,-0.154,-0.10333213,-0.30134601,-0.30134601,-0.0771838,1.93839054,2.99479077,13.0473739,2.96202549,13.55783532,0.39062237,0.71537334,0.61754294,Americas,Major,148.2223,146.12528,143.48238,138.2348,59.37852689,0.96782608,146.41493406,150.02966594,
SGDJPY,SINGAPORE DOLLAR / JAPANESE YEN,108.387,108.744,108.316,108.573,108.619,108.584,0.186,0.1716073,0.139,0.12818858,-0.68149801,-0.68149801,-0.20221889,0.4449913,1.6915339,9.79723922,7.50866422,11.17334453,0.39514015,0.72092903,0.56023017,,Exotic,108.4467,107.66798,106.25037,102.995245,53.3565772,0.64151586,107.52470085,109.36869915,
CADHKD,CANADIAN DOLLAR / HONG KONG DOLLAR,5.71181,5.71989,5.69729,5.69729,5.70083,5.70017,-0.01452,-0.25421014,-0.01502,-0.26294091,-1.19164065,-1.19164065,-1.49419663,-1.24644665,-3.24389043,-2.09731688,-1.12304755,-1.12304755,0.39667982,0.95983274,0.5922127,,Exotic,5.7737335,5.7943506,5.8359887,5.81922895,29.97549302,0.03628589,5.70691552,5.84055148,
GBPRON,BRITISH POUND / ROMANIAN LEU,5.7397,5.7569,5.7332,5.7569,5.7589,5.7569,0.0172,0.29966723,0.0172,0.29966723,0.31190103,0.31190103,0.77195071,-0.45132284,-0.59571088,2.34306946,1.00710589,2.93965132,0.41338171,0.35340745,0.44931763,Europe,Exotic,5.754835,5.757464,5.758487,5.673212,51.25654001,0.02522564,5.70722419,5.80244581,
